epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1704.58,0.92162,0.47706,1.14325,0.99662,0.99766,0.99467,0.7927,0.40807,1.0626,0.47646,0.0017723,0.0017723,0.0017723
71,1721.84,0.93604,0.46999,1.14196,0.97915,0.98989,0.99333,0.77512,0.43116,10.6626,0.49584,0.001769,0.001769,0.001769
72,1742.47,0.94099,0.46364,1.16021,0.98788,0.99766,0.99405,0.79107,0.40778,2.72516,0.48637,0.0017657,0.0017657,0.0017657
73,1769.5,0.91147,0.44991,1.14164,0.99496,0.99766,0.99422,0.82118,0.36288,2.67931,0.46589,0.0017624,0.0017624,0.0017624
74,1787.45,0.94004,0.45511,1.16173,0.99607,0.99766,0.99498,0.62056,0.73665,0.37295,0.60544,0.0017591,0.0017591,0.0017591
75,1814.4,0.9333,0.46772,1.14883,0.993,0.99709,0.99493,0.61957,0.71322,0.94624,0.59414,0.0017558,0.0017558,0.0017558
76,1829.88,0.89563,0.45154,1.13257,0.99826,0.99766,0.995,0.80113,0.4027,2.9214,0.47067,0.0017525,0.0017525,0.0017525
77,1851.61,0.92917,0.46615,1.13464,0.99761,0.99766,0.99495,0.81665,0.37247,2.91035,0.45848,0.0017492,0.0017492,0.0017492
78,1876.85,0.89003,0.45207,1.13157,0.99982,0.99766,0.995,0.77601,0.44688,1.77474,0.48122,0.0017459,0.0017459,0.0017459
79,1903.96,0.90836,0.45607,1.14462,0.99897,0.99766,0.995,0.69916,0.56727,1.58809,0.53899,0.0017426,0.0017426,0.0017426
80,1935.42,0.8946,0.44856,1.12685,0.99949,0.99766,0.995,0.77467,0.44881,1.1195,0.4885,0.0017393,0.0017393,0.0017393
81,1955.96,0.91366,0.44798,1.14626,0.99997,0.99766,0.995,0.82945,0.36455,0.51923,0.46736,0.001736,0.001736,0.001736
82,1982.29,0.95288,0.46334,1.16166,0.99612,0.99297,0.99474,0.77749,0.43538,1.91866,0.48161,0.0017327,0.0017327,0.0017327
83,2007.97,0.9506,0.45284,1.13481,0.95051,0.94466,0.97703,0.78807,0.40241,2.39506,0.48696,0.0017294,0.0017294,0.0017294
84,2030.63,0.95846,0.45734,1.17163,0.98664,0.94848,0.98755,0.78618,0.42448,0.33566,0.49993,0.0017261,0.0017261,0.0017261
85,2048.89,0.84786,0.42855,1.1175,0.99286,0.97743,0.99429,0.83828,0.33497,0.38431,0.45867,0.0017228,0.0017228,0.0017228
86,2069.7,0.87297,0.53237,1.12876,0.9965,0.99532,0.995,0.81576,0.34582,0.25167,0.4639,0.0017195,0.0017195,0.0017195
87,2095.72,0.83179,0.42811,1.08277,0.99735,0.99532,0.99498,0.85699,0.3039,0.22049,0.44375,0.0017162,0.0017162,0.0017162
88,2119.41,0.91692,0.46168,1.14117,1,0.99762,0.995,0.81032,0.40832,0.50314,0.47066,0.0017129,0.0017129,0.0017129
89,2145.17,0.84196,0.43018,1.10393,0.99941,0.99766,0.995,0.73336,0.5476,1.35049,0.52642,0.0017096,0.0017096,0.0017096
90,2172.47,0.90215,0.44052,1.11216,0.9957,0.99532,0.995,0.79404,0.42823,0.713,0.47697,0.0017063,0.0017063,0.0017063
91,2193.46,0.83822,0.42288,1.08534,0.99932,0.99766,0.995,0.79462,0.41733,0.75792,0.47054,0.001703,0.001703,0.001703
92,2217.71,0.92644,0.45173,1.14282,0.99845,0.99766,0.995,0.8275,0.35971,3.13143,0.45077,0.0016997,0.0016997,0.0016997
93,2239.95,0.86053,0.44515,1.09959,0.98555,0.99766,0.99469,0.7687,0.45578,10.1607,0.48106,0.0016964,0.0016964,0.0016964
94,2264.7,0.89418,0.45237,1.1192,0.99743,1,0.995,0.70133,0.58864,0.76497,0.52404,0.0016931,0.0016931,0.0016931
95,2287.33,0.78361,0.40646,1.06683,0.99311,0.99766,0.995,0.56321,0.80529,3.15599,0.65578,0.0016898,0.0016898,0.0016898
